Date&Time,Cloudfactor,Windspeed,powerConsumption_CustomConsumer@18/5_Bus0,powerConsumption_CustomConsumer@18/6_Bus0,powerConsumption_CustomConsumer@18/9_Bus0,powerConsumption_CustomConsumer@14/10_Bus0,powerConsumption_CustomConsumer@18/11_Bus0,powerConsumption_CustomConsumer@13/11_Bus0,powerConsumption_CustomConsumer@13/12_Bus0,powerConsumption_CustomConsumer@19/13_Bus0,powerConsumption_CustomConsumer@14/14_Bus0,powerConsumption_CustomConsumer@17/16_Bus0,,powerProduction_SolarPowerPlant@18/3_Bus0,powerProduction_SolarPowerPlant@20/6_Bus0,powerProduction_SolarPowerPlant@20/9_Bus0,powerProduction_SolarPowerPlant@14/8_Bus0,powerProduction_SolarPowerPlant@20/11_Bus0,powerProduction_SolarPowerPlant@11/11_Bus0,powerProduction_SolarPowerPlant@21/13_Bus0,powerProduction_SolarPowerPlant@14/16_Bus0,powerProduction_SolarPowerPlant@11/13_Bus0,powerProduction_SolarPowerPlant@19/16_Bus0
2018.07.03   05.30,0.655,1.567,31883.11875,31883.11875,31883.11875,19129.87125,44636.36625,19129.87125,19129.87125,46761.9075,39676.77,53847.045,,2671.1741,2671.1741,2671.1741,1602.7045,3739.6437,1602.7045,3917.722,3324.1278,1602.7045,4511.3162
2018.07.03   06.30,0.429,0.854,50232.65625,50232.65625,50232.65625,30139.59375,70325.71875,30139.59375,30139.59375,73674.5625,62511.75,84837.375,,111923.9384,111923.9384,111923.9384,67154.3631,156693.5138,67154.3631,164155.1097,139283.1234,67154.3631,189027.096
2018.07.03   07.30,0.406,2.602,57972.20625,57972.20625,57972.20625,34783.32375,81161.08875,34783.32375,34783.32375,85025.9025,72143.19,97908.615,,181790.7587,181790.7587,181790.7587,109074.4552,254507.0622,109074.4552,266626.4461,226228.4997,109074.4552,307024.3925
2018.07.03   08.30,0.569,2.547,61469.8875,61469.8875,61469.8875,36881.9325,86057.8425,36881.9325,36881.9325,90155.835,76495.86,103815.81,,156791.4862,156791.4862,156791.4862,94074.8917,219508.0806,94074.8917,229960.8464,195118.2939,94074.8917,264803.3988
2018.07.03   09.30,0.512,1.875,60215.4,60215.4,60215.4,36129.24,84301.56,36129.24,36129.24,88315.92,74934.72,101697.12,,194133.9022,194133.9022,194133.9022,116480.3413,271787.463,116480.3413,284729.7232,241588.856,116480.3413,327870.5903
2018.07.03   10.30,0.478,2.299,59045.9625,59045.9625,59045.9625,35427.5775,82664.3475,35427.5775,35427.5775,86600.745,73479.42,99722.07,,218515.0114,218515.0114,218515.0114,131109.0068,305921.0159,131109.0068,320488.6833,271929.7919,131109.0068,369047.5747
2018.07.03   11.30,0.501,2.021,63500.45625,63500.45625,63500.45625,38100.27375,88900.63875,38100.27375,38100.27375,93134.0025,79022.79,107245.215,,214947.1723,214947.1723,214947.1723,128968.3034,300926.0412,128968.3034,315255.8527,267489.8144,128968.3034,363021.891
2018.07.03   12.30,0.656,1.618,67997.475,67997.475,67997.475,40798.485,95196.465,40798.485,40798.485,99729.63,84619.08,114840.18,,150121.3303,150121.3303,150121.3303,90072.7982,210169.8624,90072.7982,220177.9511,186817.6555,90072.7982,253538.2467
2018.07.03   13.30,0.74,1.416,60194.1375,60194.1375,60194.1375,36116.4825,84271.7925,36116.4825,36116.4825,88284.735,74908.26,101661.21,,113469.809,113469.809,113469.809,68081.8854,158857.7326,68081.8854,166422.3865,141206.8734,68081.8854,191637.8996
2018.07.03   14.30,0.928,3.154,52847.94375,52847.94375,52847.94375,31708.76625,73987.12125,31708.76625,31708.76625,77510.3175,65766.33,89254.305,,31019.622,31019.622,31019.622,18611.7732,43427.4708,18611.7732,45495.4456,38602.1963,18611.7732,52388.6949
2018.07.03   15.30,0.877,2.139,49105.74375,49105.74375,49105.74375,29463.44625,68748.04125,29463.44625,29463.44625,72021.7575,61109.37,82934.145,,51505.2681,51505.2681,51505.2681,30903.1609,72107.3753,30903.1609,75541.0599,64095.4447,30903.1609,86986.675
2018.07.03   16.30,1,0.549,49775.5125,49775.5125,49775.5125,29865.3075,69685.7175,29865.3075,29865.3075,73004.085,61942.86,84065.31,,0,0,0,0,0,0,0,0,0,0
2018.07.03   17.30,0.957,1.792,55729.0125,55729.0125,55729.0125,33437.4075,78020.6175,33437.4075,33437.4075,81735.885,69351.66,94120.11,,15656.9383,15656.9383,15656.9383,9394.163,21919.7136,9394.163,22963.5094,19484.1898,9394.163,26442.8291
2018.07.03   18.30,0.757,1.528,65733.01875,65733.01875,65733.01875,39439.81125,92026.22625,39439.81125,39439.81125,96408.4275,81801.09,111015.765,,74500.6493,74500.6493,74500.6493,44700.3896,104300.9091,44700.3896,109267.619,92711.9192,44700.3896,125823.3189
2018.07.03   19.30,0.738,1.913,72037.35,72037.35,72037.35,43222.41,100852.29,43222.41,43222.41,105654.78,89646.48,121663.08,,51617.417,51617.417,51617.417,30970.4502,72264.3838,30970.4502,75705.545,64235.0078,30970.4502,87176.0821
2018.07.03   20.30,0.649,2.653,68688.50625,68688.50625,68688.50625,41213.10375,96163.90875,41213.10375,41213.10375,100743.1425,85479.03,116007.255,,2854.11,2854.11,2854.11,1712.466,3995.754,1712.466,4186.028,3551.7813,1712.466,4820.2747
2018.07.03   21.30,0.634,2.908,64999.4625,64999.4625,64999.4625,38999.6775,90999.2475,38999.6775,38999.6775,95332.545,80888.22,109776.87,,0.1458,0.1458,0.1458,0.0875,0.2041,0.0875,0.2138,0.1814,0.0875,0.2462
2018.07.03   22.30,0.494,2.486,55590.80625,55590.80625,55590.80625,33354.48375,77827.12875,33354.48375,33354.48375,81533.1825,69179.67,93886.695,,2.00E-04,2.00E-04,2.00E-04,1.00E-04,3.00E-04,1.00E-04,4.00E-04,3.00E-04,1.00E-04,4.00E-04
2018.07.03   23.30,0.404,2.674,38995.425,38995.425,38995.425,23397.255,54593.595,23397.255,23397.255,57193.29,48527.64,65858.94,,0,0,0,0,0,0,0,0,0,0
2018.07.04   00.30,0.534,1.599,25993.40625,25993.40625,25993.40625,15596.04375,36390.76875,15596.04375,15596.04375,38123.6625,32347.35,43899.975,,0,0,0,0,0,0,0,0,0,0
2018.07.04   01.30,0.701,0.754,22070.475,22070.475,22070.475,13242.285,30898.665,13242.285,13242.285,32370.03,27465.48,37274.58,,0,0,0,0,0,0,0,0,0,0
2018.07.04   02.30,0.476,2.208,20401.36875,20401.36875,20401.36875,12240.82125,28561.91625,12240.82125,12240.82125,29922.0075,25388.37,34455.645,,0,0,0,0,0,0,0,0,0,0
2018.07.04   03.30,0.494,2.2,20008.0125,20008.0125,20008.0125,12004.8075,28011.2175,12004.8075,12004.8075,29345.085,24898.86,33791.31,,2.00E-04,2.00E-04,2.00E-04,1.00E-04,3.00E-04,1.00E-04,3.00E-04,3.00E-04,1.00E-04,4.00E-04
