Date&Time,Cloudfactor,Windspeed,powerConsumption_CustomConsumer@18/5_Bus0,powerConsumption_CustomConsumer@18/6_Bus0,powerConsumption_CustomConsumer@18/9_Bus0,powerConsumption_CustomConsumer@14/10_Bus0,powerConsumption_CustomConsumer@18/11_Bus0,powerConsumption_CustomConsumer@13/11_Bus0,powerConsumption_CustomConsumer@13/12_Bus0,powerConsumption_CustomConsumer@19/13_Bus0,powerConsumption_CustomConsumer@14/14_Bus0,powerConsumption_CustomConsumer@17/16_Bus0,,,powerProduction_SolarPowerPlant@18/3_Bus0,powerProduction_SolarPowerPlant@20/6_Bus0,powerProduction_SolarPowerPlant@20/9_Bus0,powerProduction_SolarPowerPlant@14/8_Bus0,powerProduction_SolarPowerPlant@20/11_Bus0,powerProduction_SolarPowerPlant@11/11_Bus0,powerProduction_SolarPowerPlant@21/13_Bus0,powerProduction_SolarPowerPlant@14/16_Bus0,powerProduction_SolarPowerPlant@11/13_Bus0,powerProduction_SolarPowerPlant@19/16_Bus0,,,
2018.03.17   16.30,0.391,1.452,54155.5875,54155.5875,54155.5875,32493.3525,75817.8225,32493.3525,32493.3525,79428.195,67393.62,91462.77,574049.2275,13482155.77,209480.9521,209480.9521,209480.9521,125688.5712,293273.3329,125688.5712,307238.7297,260687.407,125688.5712,353790.0524,2220498.092,14331238.88,849083.1146
2018.03.17   17.30,0.248,1.728,48967.5375,48967.5375,48967.5375,29380.5225,68554.5525,29380.5225,29380.5225,71819.055,60937.38,82700.73,519055.8975,13416006,207535.1439,207535.1439,207535.1439,124521.0863,290549.2015,124521.0863,304384.8777,258265.9569,124521.0863,350503.7986,2199872.525,14627396.38,1211390.376
2018.03.17   18.30,0.307,1.934,35497.74375,35497.74375,35497.74375,21298.64625,49696.84125,21298.64625,21298.64625,52063.3575,44174.97,59951.745,376276.0838,13333403.32,84806.159,84806.159,84806.159,50883.6954,118728.6226,50883.6954,124382.3666,105536.5534,50883.6954,143228.1797,898945.2855,14457751.56,1124348.247
2018.03.17   19.30,0.169,1.554,28247.23125,28247.23125,28247.23125,16948.33875,39546.12375,16948.33875,16948.33875,41429.2725,35152.11,47706.435,299420.6513,13310752.38,15.1929,15.1929,15.1929,9.1157,21.27,9.1157,22.2829,18.9067,9.1157,25.6591,161.0445,14120611.65,809859.2746
2018.03.17   20.30,0.018,1.955,20869.14375,20869.14375,20869.14375,12521.48625,29216.80125,12521.48625,12521.48625,30608.0775,25970.49,35245.665,221212.9238,13257336.72,5.00E-04,5.00E-04,5.00E-04,3.00E-04,7.00E-04,3.00E-04,7.00E-04,6.00E-04,3.00E-04,8.00E-04,0.0052,14120588.81,863252.0894
2018.03.17   21.30,0,1.621,18221.9625,18221.9625,18221.9625,10933.1775,25510.7475,10933.1775,10933.1775,26725.545,22676.22,30774.87,193152.8025,13243926.47,0,0,0,0,0,0,0,0,0,0,0,14120588.81,876662.3474
2018.03.17   22.30,0.168,2.305,16882.425,16882.425,16882.425,10129.455,23635.395,10129.455,10129.455,24760.89,21009.24,28512.54,178953.705,13239869.58,0,0,0,0,0,0,0,0,0,0,0,14120588.81,880719.2324
2018.03.17   23.30,0.13,2.655,16318.96875,16318.96875,16318.96875,9791.38125,22846.55625,9791.38125,9791.38125,23934.4875,20308.05,27560.925,172981.0688,13237164.99,0,0,0,0,0,0,0,0,0,0,0,14120588.81,883423.8224
2018.03.18   00.30,0.051,1.759,16786.74375,16786.74375,16786.74375,10072.04625,23501.44125,10072.04625,10072.04625,24620.5575,20890.17,28350.945,177939.4838,13241334.57,0,0,0,0,0,0,0,0,0,0,0,14120588.81,879254.2462
2018.03.18   01.30,0.084,1.057,18530.26875,18530.26875,18530.26875,11118.16125,25942.37625,11118.16125,11118.16125,27177.7275,23059.89,31295.565,196420.8488,13236939.61,0,0,0,0,0,0,0,0,0,0,0,14120588.81,883649.2049
2018.03.18   02.30,0.261,2.292,27566.83125,27566.83125,27566.83125,16540.09875,38593.56375,16540.09875,16540.09875,40431.3525,34305.39,46557.315,292208.4113,13232882.72,0,0,0,0,0,0,0,0,0,0,0,14120588.81,887706.0899
2018.03.18   03.30,0.106,0.422,48882.4875,48882.4875,48882.4875,29329.4925,68435.4825,29329.4925,29329.4925,71694.315,60831.54,82557.09,518154.3675,13296440.59,0,0,0,0,0,0,0,0,0,0,0,14120588.81,824148.2249
2018.03.18   04.30,0,2.465,67136.34375,67136.34375,67136.34375,40281.80625,93990.88125,40281.80625,40281.80625,98466.6375,83547.45,113385.825,711645.2438,13404173.42,0,0,0,0,0,0,0,0,0,0,0,14120588.81,716415.3899
2018.03.18   05.30,0.096,2.409,80531.71875,80531.71875,80531.71875,48319.03125,112744.4063,48319.03125,48319.03125,118113.1875,100217.25,136009.125,853636.2188,13602735.41,1.00E-04,1.00E-04,1.00E-04,1.00E-04,2.00E-04,1.00E-04,2.00E-04,2.00E-04,1.00E-04,3.00E-04,0.0015,14120588.81,517853.4089
2018.03.18   06.30,0,1.853,89217.45,89217.45,89217.45,53530.47,124904.43,53530.47,53530.47,130852.26,111026.16,150678.36,945704.97,13868686.76,3.8628,3.8628,3.8628,2.3177,5.408,2.3177,5.6655,4.8071,2.3177,6.5239,40.946,14120629.76,251943.0042
